LocID,Location,VarID,Variant,Time,MidPeriod,TFR,NRR,CBR,Births,LEx,LExMale,LExFemale,IMR,Q5,CDR,Deaths,DeathsMale,DeathsFemale,CNMR,NetMigrations,GrowthRate,NatIncr,SRB,MAC
50,"Bangladesh",2,"Medium","1950-1955",1953.0,6.359,1.905,46.239,9249.629,40.67,40.28,41.07,220.394,328.175,24.833,4967.693,2611.585,2356.108,-.275,-55.096,2.115,21.406,1.049,28.270
50,"Bangladesh",2,"Medium","1955-1960",1958.0,6.622,2.132,48.511,10953.954,44.22,43.89,44.57,188.983,282.920,21.599,4877.207,2563.115,2314.092,.007,1.484,2.696,26.912,1.049,28.270
50,"Bangladesh",2,"Medium","1960-1965",1963.0,6.804,2.311,49.086,12766.442,47.19,46.90,47.49,165.707,248.498,19.185,4989.776,2620.990,2368.786,-.547,-142.378,2.941,29.901,1.049,28.270
50,"Bangladesh",2,"Medium","1965-1970",1968.0,6.921,2.430,48.546,14670.707,49.32,49.04,49.61,152.249,228.206,17.522,5295.153,2782.253,2512.900,-.535,-161.822,3.055,31.024,1.049,28.270
50,"Bangladesh",2,"Medium","1970-1975",1973.0,6.910,2.232,46.858,15973.106,46.28,46.31,46.25,183.187,259.891,19.764,6737.099,3476.728,3260.371,-8.736,-2977.854,1.837,27.094,1.049,28.325
50,"Bangladesh",2,"Medium","1975-1980",1978.0,6.630,2.416,44.679,17064.857,52.21,52.00,52.43,139.576,208.152,15.246,5823.191,3049.918,2773.273,-2.819,-1076.732,2.665,29.433,1.049,28.286
50,"Bangladesh",2,"Medium","1980-1985",1983.0,5.977,2.254,42.186,18421.704,54.30,54.10,54.52,125.807,186.210,13.523,5905.230,3086.892,2818.338,-1.803,-787.467,2.690,28.663,1.049,27.987
50,"Bangladesh",2,"Medium","1985-1990",1988.0,4.983,1.959,37.842,18863.246,56.97,56.70,57.27,108.802,158.573,11.345,5655.103,2959.578,2695.525,-.440,-219.363,2.609,26.497,1.049,27.491
50,"Bangladesh",2,"Medium","1990-1995",1993.0,4.060,1.665,33.002,18554.837,59.99,59.60,60.42,90.288,128.838,9.317,5238.449,2750.007,2488.442,-1.420,-798.161,2.229,23.685,1.049,26.900
50,"Bangladesh",2,"Medium","1995-2000",1998.0,3.433,1.462,29.317,18344.465,63.74,63.53,63.95,72.557,100.875,7.534,4713.968,2440.090,2273.878,-1.208,-756.121,2.059,21.783,1.049,26.526
50,"Bangladesh",2,"Medium","2000-2005",2003.0,2.936,1.292,25.999,17875.234,66.70,66.16,67.28,55.997,74.896,6.522,4483.921,2358.391,2125.530,-2.242,-1541.457,1.725,19.477,1.049,26.214
50,"Bangladesh",2,"Medium","2005-2010",2008.0,2.481,1.123,22.511,16634.396,69.05,68.18,69.98,43.300,55.598,5.881,4345.441,2329.700,2015.741,-4.832,-3570.954,1.180,16.630,1.049,25.869
50,"Bangladesh",2,"Medium","2010-2015",2013.0,2.221,1.022,20.205,15828.452,71.25,69.79,72.92,33.276,41.271,5.425,4250.184,2361.743,1888.441,-3.225,-2526.483,1.156,14.780,1.049,25.603
